id,category,score,skills
42156237,DIGITAL-MEDIA,71.08,"['python', 'sql', 'mysql', 'html', 'javascript', 'power bi', 'excel', 'tableau']"
21866029,HEALTHCARE,46.94,"['sql', 'excel', 'tableau']"
26585242,HEALTHCARE,46.94,"['sql', 'excel', 'tableau']"
13385306,INFORMATION-TECHNOLOGY,45.01,"['c', 'sql', 'tableau']"
12011623,ENGINEERING,42.87,"['python', 'c', 'sql', 'html', 'machine learning', 'pandas', 'tableau']"
72231872,HR,39.85,"['excel', 'tableau']"
26231609,FINANCE,39.85,"['excel', 'tableau']"
30344127,APPAREL,39.85,"['excel', 'tableau']"
18448085,AUTOMOBILE,39.42,"['python', 'sql', 'mysql', 'pandas', 'numpy', 'matplotlib', 'excel', 'tableau']"
77439230,ADVOCATE,37.55,['tableau']
32531824,BUSINESS-DEVELOPMENT,37.55,['tableau']
34250007,FINANCE,37.55,['tableau']
90280583,ENGINEERING,37.55,['tableau']
65237556,PUBLIC-RELATIONS,37.55,['tableau']
32985311,ENGINEERING,35.55,"['python', 'c', 'sql', 'tableau']"
14871762,BUSINESS-DEVELOPMENT,33.17,"['python', 'java', 'sql', 'excel', 'tableau']"
39166680,DIGITAL-MEDIA,32.91,"['sql', 'html', 'javascript', 'tableau']"
30863060,CONSULTANT,31.3,"['java', 'sql', 'html', 'javascript', 'excel', 'tableau']"
11813872,AGRICULTURE,29.58,"['python', 'java', 'sql', 'aws', 'pandas', 'matplotlib']"
91189201,CONSULTANT,29.46,"['sql', 'aws', 'azure', 'excel', 'tableau']"
32959732,INFORMATION-TECHNOLOGY,29.28,"['sql', 'linux', 'azure', 'tableau']"
30968749,DESIGNER,28.17,"['sql', 'excel']"
10247517,INFORMATION-TECHNOLOGY,28.17,"['sql', 'excel']"
37764298,INFORMATION-TECHNOLOGY,28.17,"['sql', 'excel']"
57002858,INFORMATION-TECHNOLOGY,28.17,"['sql', 'excel']"
29075857,INFORMATION-TECHNOLOGY,28.17,"['sql', 'excel']"
79541391,INFORMATION-TECHNOLOGY,28.17,"['sql', 'excel']"
20748929,BUSINESS-DEVELOPMENT,28.17,"['sql', 'excel']"
26530696,SALES,28.17,"['sql', 'excel']"
88907739,CONSULTANT,28.17,"['c', 'sql', 'excel']"
95792386,CONSULTANT,28.17,"['sql', 'excel']"
26341645,AUTOMOBILE,28.17,"['sql', 'excel']"
24854026,FINANCE,28.17,"['sql', 'excel']"
11441764,FINANCE,28.17,"['sql', 'excel']"
20977412,FINANCE,28.17,"['sql', 'excel']"
26013403,FINANCE,28.17,"['sql', 'excel']"
14181049,FINANCE,28.17,"['sql', 'excel']"
28998957,APPAREL,28.17,"['sql', 'excel']"
32081266,ENGINEERING,28.17,"['sql', 'excel']"
31694970,ENGINEERING,28.17,"['c', 'sql', 'excel']"
21031285,ACCOUNTANT,28.17,"['sql', 'excel']"
39115899,ACCOUNTANT,28.17,"['sql', 'excel']"
18132924,ACCOUNTANT,28.17,"['sql', 'excel']"
14449423,ACCOUNTANT,28.17,"['c', 'sql', 'excel']"
12065211,ACCOUNTANT,28.17,"['sql', 'excel']"
87635012,ACCOUNTANT,28.17,"['sql', 'excel']"
36107065,PUBLIC-RELATIONS,28.17,"['c', 'sql', 'excel']"
71422121,BANKING,28.17,"['sql', 'excel']"
35483925,BANKING,28.17,"['sql', 'excel']"
34758680,BANKING,28.17,"['sql', 'excel']"
27606527,BANKING,28.17,"['sql', 'excel']"
19176318,BANKING,28.17,"['sql', 'excel']"
24610685,SALES,27.98,"['c', 'sql', 'mysql', 'html', 'css', 'javascript', 'excel', 'tableau']"
34319869,DIGITAL-MEDIA,26.55,"['github', 'excel', 'tableau']"
62994611,AGRICULTURE,26.45,"['python', 'c', 'sql', 'html', 'css', 'javascript', 'node.js', 'flask', 'tensorflow', 'scikit-learn', 'pandas', 'tableau']"
13586069,CONSULTANT,26.23,"['sql', 'mysql', 'machine learning', 'excel', 'tableau']"
19796840,INFORMATION-TECHNOLOGY,24.81,['sql']
13836471,INFORMATION-TECHNOLOGY,24.81,['sql']
14789139,INFORMATION-TECHNOLOGY,24.81,['sql']
27536013,INFORMATION-TECHNOLOGY,24.81,['sql']
41344156,INFORMATION-TECHNOLOGY,24.81,['sql']
25959103,INFORMATION-TECHNOLOGY,24.81,['sql']
